NOMBRE,CARTEGORIA,FECHA
"[Taller] Introducción a las políticas culturales dirigido por Santiago Alfaro. Miércoles 21 y 28 de setiembre, 5,19 y 26 de octubre","Formación, Oportunidades y recursos, Oportunidades y recursos, Talleres y especialización","Septiembre 24, 2016"
PROGRAMA DE ARTES EN LA ESCUELA – PASEE 2016. Sesión sábado 10 de setiembre Tema: Danza,"Formación, Talleres y especialización","Agosto 53, 2016"
[Talleres de Arte Ministerio de Cultura] Inscripciones  hasta el 07 de setiembre.,Talleres y especialización,"Agosto 37, 2016"
Inscripciones para los TALLERES CREATIVOS AGOSTO /// 2016. Espacio Los Únicos,"Formación, Talleres y especialización","Agosto 26, 2016"
PROGRAMA DE ARTES EN LA ESCUELA – PASEE 2016. Sesión sábado 13 de agosto. Tema: Teatro,"Formación, Talleres y especialización","Agosto 55, 2016"
[CONVOCATORIA] Clase Maestra de la compañía de danza “ULTIMA VEZ” dictada por el reconocido coreógrafo Iñaki Azpillaga. Postulaciones hasta el 5 de agosto,Talleres y especialización,"Agosto 10, 2016"
Renato Moriconi y Diego Bianki en el MAC. Actividades preparatorias para el “I Encuentro Nacional de Ilustradores 2017”,"Formación, Talleres y especialización","Julio 10, 2016"
Talleres de Arte – Ministerio de Cultura . Mes de julio 2016,"Oportunidades y recursos, Talleres y especialización","Junio 54, 2016"
[TALLER] BNP PRESENTARÁ “PROTECCIÓN DEL PATRIMONIO BIBLIOGRÁFICO ANTE LOS RIESGOS OCASIONADOS POR EL FENÓMENO DEL NIÑO”,Talleres y especialización,"Junio 09, 2016"
Tulpu – Plataforma online,"Herramientas de autoformación, Talleres y especialización","Mayo 45, 2016"
Inscripciones para los TALLERES CREATIVOS JUNIO /// 2016:::,"Formación, Talleres y especialización","Mayo 24, 2016"
[Talleres] Actuación y Pedagogía Teatral por la argentina Débora Astrosky en Lima. 21 de mayo 2016,Talleres y especialización,"Mayo 24, 2016"
"“Artes Escénicas: diálogo, interacción y creatividad” Taller – Cusco. 24, 25, 27 y 28 de mayo","Formación, Oportunidades y recursos, Talleres y especialización","Mayo 32, 2016"
Talleres de Arte – Ministerio de Cultura. Inscripciones hasta el 03 de junio,"Formación, Talleres y especialización","Mayo 56, 2016"
[Talleres] Arte Corpus invita a sus talleres de técnicas de acuarela e ilustración contemporánea y de moda. Inicio: abril y mayo 2016,Talleres y especialización,"Abril 54, 2016"
Desarrollando identidad a través del arte EsCAPe,"Oportunidades y recursos, Talleres y especialización","Abril 18, 2016"
Coaching teatral. Inicio 10 de mayo.,"Oportunidades y recursos, Talleres y especialización","Abril 28, 2016"
Relación de seleccionados Taller “Ciudadanía e interculturalidad a través de la danza”,"Formación, Talleres y especialización","Abril 05, 2016"
Taller intensivo de técnicas escénicas “todo o nada” de GESTUS se realizará este 16 y 17 de abril 2016,Talleres y especialización,"Abril 45, 2016"
Cursos de formación continua del programa “Universidad Abierta”. Universidad de Piura.,"Formación, Talleres y especialización","Marzo 58, 2016"
Taller de Fotografía de viajes con el fotógrafo argentino Mazzoncini. Lunes 29 de febrero en el CCPUCP,Talleres y especialización,"Febrero 52, 2016"
Taller de Danza Contemporánea con Franklin Dávalos. Inicio: 16 de febrero 2016,Talleres y especialización,"Febrero 33, 2016"
"2da edición de LADFEST. Este 11, 12 y 13 de febrero",Talleres y especialización,"Febrero 28, 2016"
Difunden en Perú innovador método ruso de apreciación musical en niños: Mundo Mozart Perú,Talleres y especialización,"Febrero 30, 2016"
BIBLIOTECA NACIONAL DEL PERÚ ORGANIZA EL  V PROGRAMA DE HISTORIA DEL ARTE PERUANO,Talleres y especialización,"Febrero 04, 2016"
[TALLERES DE VERANO] EN LA CASA DE LA CULTURA Y EL CENTRO CULTURAL EL OLIVAR,"Oportunidades y recursos, Talleres y especialización","Febrero 47, 2016"
Municipalidad de San Isidro anuncia Taller de Poesía Experimental con Luis Alvarado,Talleres y especialización,"Enero 15, 2016"
